period,true_value,mm_signal,mm_bid,mm_ask,mm_num_buys,mm_num_sells,mm_pnl,bot_tight_bid,bot_tight_ask,bot_wide_bid,bot_wide_ask,bot_skewed_bid,bot_skewed_ask,bot_noisy_bid,bot_noisy_ask,bot_fade_bid,bot_fade_ask
0,158.4,39.35,0.0,109.35,27,0,-1324.23,140.31,250.31,0.0,189.36,97.1,252.1,69.27,207.26,0.0,185.79
1,662.17,704.49,634.49,774.49,0,0,0.0,578.01,688.01,554.64,794.64,646.17,801.17,606.34,686.59,598.36,727.19
2,133.24,108.14,38.14,178.14,9,0,404.08,74.21,184.21,0.0,186.81,81.37,236.37,95.28,252.7,88.62,265.5
3,110.05,133.22,63.22,203.22,0,6,280.95,13.9,123.9,0.0,174.47,0.0,100.0,0.0,206.55,10.24,207.57
4,428.35,395.24,325.24,465.24,0,0,0.0,348.6,458.6,317.61,557.61,454.01,609.01,334.61,447.57,323.73,439.28
5,272.84,255.55,185.55,325.55,0,0,0.0,188.13,298.13,139.02,379.02,283.08,438.08,210.87,294.26,194.96,344.1
6,911.04,900.0,830.0,970.0,0,0,0.0,895.37,1005.37,775.28,1015.28,869.24,1024.24,752.08,904.66,788.84,984.91
7,86.47,143.29,73.29,213.29,0,0,0.0,76.72,186.72,15.07,255.07,11.37,166.37,7.95,110.71,80.8,259.72
8,394.5,423.81,353.81,493.81,0,0,0.0,266.13,376.13,255.22,495.22,258.74,413.74,245.2,370.78,359.08,465.4
9,14.24,0.0,0.0,70.0,0,13,185.17,0.0,61.25,0.0,120.0,0.0,118.77,0.0,18.17,0.0,115.0
10,979.63,1036.42,966.42,1106.42,0,0,0.0,844.05,954.05,788.37,1028.37,986.01,1141.01,916.19,1001.65,831.84,1043.08
11,910.89,909.58,839.58,979.58,0,0,0.0,834.68,944.68,774.25,1014.25,968.92,1123.92,829.09,895.11,801.6,1002.16
12,957.89,963.16,893.16,1033.16,0,0,0.0,893.96,1003.96,740.04,980.04,937.23,1092.23,879.23,984.86,840.35,1054.59
13,587.6,573.53,503.53,643.53,0,0,0.0,575.19,685.19,350.58,590.58,422.25,577.25,594.9,643.85,587.18,712.07
